Year,Month,WeekNumber,CalendarDate,WeekStartDate,WeekEndDate
2018,July,26,25/06/2018,25/06/2018,1/07/2018
2018,July,26,26/06/2018,25/06/2018,1/07/2018
2018,July,26,27/06/2018,25/06/2018,1/07/2018
2018,July,26,28/06/2018,25/06/2018,1/07/2018
2018,July,26,29/06/2018,25/06/2018,1/07/2018
2018,July,26,30/06/2018,25/06/2018,1/07/2018
2018,July,26,1/07/2018,25/06/2018,1/07/2018
2018,July,27,2/07/2018,2/07/2018,8/07/2018
2018,July,27,3/07/2018,2/07/2018,8/07/2018
2018,July,27,4/07/2018,2/07/2018,8/07/2018
2018,July,27,5/07/2018,2/07/2018,8/07/2018
2018,July,27,6/07/2018,2/07/2018,8/07/2018
2018,July,27,7/07/2018,2/07/2018,8/07/2018
2018,July,27,8/07/2018,2/07/2018,8/07/2018
2018,July,28,9/07/2018,9/07/2018,15/07/2018
2018,July,28,10/07/2018,9/07/2018,15/07/2018
2018,July,28,11/07/2018,9/07/2018,15/07/2018
2018,July,28,12/07/2018,9/07/2018,15/07/2018
2018,July,28,13/07/2018,9/07/2018,15/07/2018
2018,July,28,14/07/2018,9/07/2018,15/07/2018
2018,July,28,15/07/2018,9/07/2018,15/07/2018
2018,July,29,16/07/2018,16/07/2018,22/07/2018
2018,July,29,17/07/2018,16/07/2018,22/07/2018
2018,July,29,18/07/2018,16/07/2018,22/07/2018
2018,July,29,19/07/2018,16/07/2018,22/07/2018
2018,July,29,20/07/2018,16/07/2018,22/07/2018
2018,July,29,21/07/2018,16/07/2018,22/07/2018
2018,July,29,22/07/2018,16/07/2018,22/07/2018
2018,July,30,23/07/2018,23/07/2018,29/07/2018
2018,July,30,24/07/2018,23/07/2018,29/07/2018
2018,July,30,25/07/2018,23/07/2018,29/07/2018
2018,July,30,26/07/2018,23/07/2018,29/07/2018
2018,July,30,27/07/2018,23/07/2018,29/07/2018
2018,July,30,28/07/2018,23/07/2018,29/07/2018
2018,July,30,29/07/2018,23/07/2018,29/07/2018
2018,August,31,30/07/2018,30/07/2018,5/08/2018
2018,August,31,31/07/2018,30/07/2018,5/08/2018
2018,August,31,1/08/2018,30/07/2018,5/08/2018
2018,August,31,2/08/2018,30/07/2018,5/08/2018
2018,August,31,3/08/2018,30/07/2018,5/08/2018
2018,August,31,4/08/2018,30/07/2018,5/08/2018
2018,August,31,5/08/2018,30/07/2018,5/08/2018
2018,August,32,6/08/2018,6/08/2018,12/08/2018
2018,August,32,7/08/2018,6/08/2018,12/08/2018
2018,August,32,8/08/2018,6/08/2018,12/08/2018
2018,August,32,9/08/2018,6/08/2018,12/08/2018
